q,a,indexes
"batch_delete_projects 批量删除项目","batch_delete_projects(body, db) 是批量删除项目的API端点，位于 backend/routers/projects.py:249，路由 POST /api/projects/batch-delete。接收 {ids: [1,2,3]} 格式的ID列表，逐个删除并返回删除数量。","1. 怎么批量删除项目?
2. 批量删除接口
3. POST /api/projects/batch-delete"
"upload_rectify_photo 上传整改照片","upload_rectify_photo(hazard_id, file, db) 是整改照片上传的API端点，位于 backend/routers/projects.py:341，路由 POST /api/hazards/{hazard_id}/rectify-photo。上传后自动压缩图片、设置整改状态为done、更新项目进度。调用链：upload_rectify_photo → compress_uploaded_image → 更新Hazard.rectify_photo_path → _update_project_status。","1. 怎么上传整改照片?
2. 整改照片上传接口
3. 上传照片后状态怎么更新?
4. POST /api/hazards/{id}/rectify-photo"
"upload_scene_photo 上传现场照片","upload_scene_photo(project_id, photo_type, file, db) 是现场照片上传的API端点，位于 backend/routers/projects.py:362，路由 POST /api/projects/{project_id}/scene-photo。支持的照片类型：facade(门面)、card(廉政监督卡)、license(营业执照)、permit(经营许可证)、record_sheet(记录表)。上传后自动压缩并更新项目状态。","1. 怎么上传现场照片?
2. 门面照片怎么上传?
3. 现场照片类型有哪些?
4. POST /api/projects/{id}/scene-photo
5. 上传廉政监督卡照片"
"upload_hazard_photo 上传隐患照片","upload_hazard_photo(hazard_id, file, db) 是隐患照片上传的API端点，位于 backend/routers/projects.py:928，路由 POST /api/hazards/{hazard_id}/photo。文体项目用，上传后自动压缩并更新项目状态。调用链：upload_hazard_photo → compress_uploaded_image → 更新Hazard.hazard_photo_path → _update_project_status。","1. 文体项目怎么上传隐患照片?
2. 隐患照片上传接口
3. POST /api/hazards/{id}/photo"
"compress_uploaded_image 图片压缩","compress_uploaded_image(raw_bytes, save_path) 是后端图片压缩函数，位于 backend/services/image_compress.py:10。接收原始字节，长边超过1920px时缩放，使用JPEG质量82重编码，输出约500KB以下的jpg文件。处理RGBA/P模式转RGB，使用PIL/Lanczos缩放算法。","1. 后端怎么压缩图片?
2. 上传图片压缩逻辑
3. compress_uploaded_image参数
4. 图片压缩到多大?"
"_extract_images_from_xlsx Excel图片提取","_extract_images_from_xlsx(xlsx_path, output_dir) 是Excel内嵌图片提取函数，位于 backend/services/excel_parser.py:104。返回 {row_col: saved_path} 映射。双重提取策略：先用openpyxl的_images属性提取，再用drawing XML解析作为补充。调用链：_extract_images_from_xlsx → _extract_via_openpyxl(主路径) + _extract_via_drawing_xml(兜底路径) → 合并结果。","1. 怎么从Excel提取图片?
2. Excel嵌入图片怎么读取?
3. 图片提取策略是什么?
4. _extract_images_from_xlsx"
"_extract_via_openpyxl openpyxl图片提取","_extract_via_openpyxl(xlsx_path, output_dir) 是使用openpyxl库提取Excel图片的主路径函数，位于 backend/services/excel_parser.py:123。遍历 ws._images，获取锚点位置(row, col)，根据文件头判断jpg/png格式，保存到输出目录。返回 {row_col: path} 映射。","1. openpyxl怎么提取图片?
2. 主要图片提取方法
3. _extract_via_openpyxl"
"_extract_via_drawing_xml XML解析图片提取","_extract_via_drawing_xml(xlsx_path, output_dir) 是通过解析drawing XML直接提取Excel图片的兜底函数，位于 backend/services/excel_parser.py:160。处理openpyxl遗漏的情况（OneCellAnchor等），解析xlsx zip包中的 xl/drawings/drawing*.xml，通过 .rels 文件定位媒体资源。调用 _parse_rels 解析关系文件。","1. XML方式怎么提取图片?
2. drawing XML解析
3. 兜底图片提取方法
4. _extract_via_drawing_xml"
"_fill_cover 填充封面","_fill_cover(doc, project_data) 是Word文档封面填充函数，位于 backend/services/doc_generator.py:131。填充企业名称、详细地址、核销人员、核销日期四个字段，保持label(普通)+value(下划线)的Run结构。调用 _fill_underline_field 更新每个字段值。","1. 封面怎么填充?
2. Word封面字段怎么设置?
3. _fill_cover函数
4. 企业名称怎么填入模板?"
"_fill_hazard_table 填充隐患整改表","_fill_hazard_table(doc, project_data, hazards) 是Word文档隐患整改记录表填充函数，位于 backend/services/doc_generator.py:181。操作模板中的第3个表格(Table[2])，动态克隆/删除行以匹配隐患数量，逐行填入序号、类型、描述、隐患照片、整改状态、整改照片和备注。调用 _clone_row(克隆行) + _set_cell_text(设置文字) + _add_image_to_cell(插入图片)。","1. 隐患表怎么填充?
2. Word隐患记录表怎么生成?
3. 隐患整改表动态行怎么处理?
4. _fill_hazard_table"
"_fill_photo_tables 填充照片表格","_fill_photo_tables(doc, facade_photo, card_photo) 是Word文档照片表格填充函数，位于 backend/services/doc_generator.py:167。将门面照片插入Table[0]第2行，廉政监督卡照片插入Table[1]第2行，照片尺寸为13.2cm×8.34cm。","1. 门面照片怎么插入Word?
2. 照片表格怎么填充?
3. _fill_photo_tables
4. 廉政监督卡照片位置"
"_add_image_to_cell 单元格插入图片","_add_image_to_cell(cell, image_path, max_width_cm, max_height_cm, force_size) 是Word表格单元格图片插入函数，位于 backend/services/doc_generator.py:90。自动校正EXIF方向(调用_fix_exif_orientation)，按比例缩放图片适配单元格尺寸，失败时显示[图片加载失败]文字。","1. 怎么往Word单元格插入图片?
2. 图片缩放到单元格
3. _add_image_to_cell
4. EXIF方向校正"
"_set_cell_text 设置单元格文字","_set_cell_text(cell, text, font_name, font_size, bold, align) 是Word表格单元格文字设置函数，位于 backend/services/doc_generator.py:37。清除已有Run后添加新文字，设置字体(默认仿宋_GB2312)、字号(默认16pt)、粗体、对齐方式，行距20pt，垂直居中。","1. 怎么设置Word单元格文字?
2. 单元格格式设置
3. _set_cell_text参数
4. Word表格字体设置"
"_clone_row 克隆表格行","_clone_row(table, template_row_idx) 是Word表格行克隆函数，位于 backend/services/doc_generator.py:118。深拷贝指定行的XML元素并追加到表格末尾，用于动态增加隐患记录行。","1. 怎么复制Word表格行?
2. 动态添加表格行
3. _clone_row函数"
"parse_hazard_templates 解析隐患模板","parse_hazard_templates(xlsx_path) 是隐患依据Excel解析函数，位于 backend/services/template_loader.py:40。自动检测5列(序号+描述+建议+标准+条款)或6列(类别+序号+描述+建议+标准+条款)布局，遍历所有Sheet，返回模板条目列表。调用链：parse_hazard_templates → _detect_start_row → _detect_col_layout → 逐行解析。","1. 隐患模板怎么解析?
2. 隐患依据Excel格式
3. parse_hazard_templates
4. 5列和6列布局怎么区分?"
"load_templates_to_db 导入隐患模板到数据库","load_templates_to_db(xlsx_path, db_session) 是隐患模板数据库导入函数，位于 backend/services/template_loader.py:126。先清空 HazardTemplate 表，再调用 parse_hazard_templates 解析Excel，逐条创建 HazardTemplate ORM对象并写入数据库。返回导入条数。","1. 隐患模板怎么导入数据库?
2. load_templates_to_db
3. 清空重新导入模板
4. 模板Excel导入"
"parse_wenti_excel 解析文体台账","parse_wenti_excel(xlsx_path) 是文体项目Excel解析函数，位于 backend/services/excel_parser_wenti.py:41。从第3行开始读取数据，自动检测报告编号列位置，返回 WentiProjectData 列表，包含场所名称、街道、地址、联系人、电话、场所类型、面积、报告编号等信息。","1. 文体台账怎么解析?
2. 文体Excel格式说明
3. parse_wenti_excel
4. WentiProjectData数据结构"
"_fill_infrared_table 填充红外检测表","_fill_infrared_table(doc, records) 是文体Word红外检测附表填充函数，位于 backend/services/doc_generator_wenti.py:342。填充Table 7红外热成像检测记录，包含序号、位置、照片、编号、温度和结论字段。","1. 红外检测表怎么填充?
2. Table 7红外热成像
3. _fill_infrared_table
4. 红外检测记录"
"_fill_ground_resistance_table 填充接地电阻表","_fill_ground_resistance_table(doc, records) 是文体Word接地电阻检测附表填充函数，位于 backend/services/doc_generator_wenti.py:390。填充Table 8接地电阻检测记录。","1. 接地电阻表怎么填充?
2. Table 8接地电阻
3. _fill_ground_resistance_table"
"_fill_checklist_tables 填充附表检测结果","_fill_checklist_tables(doc, checklist_results) 是文体Word附表检测结果填充函数，位于 backend/services/doc_generator_wenti.py:486。填充Tables 17-24的检测结果，使用 CHECKLIST_ROW_MAP 映射 (table_index, item_seq) 到模板表格中的具体行列位置。","1. 附表检测结果怎么填充?
2. Tables 17-24怎么生成?
3. _fill_checklist_tables
4. 检测结果填入哪些表格?"
"_update_project_status 更新项目状态","_update_project_status(project_id, db) 是项目状态自动更新函数，位于 backend/routers/projects.py:754。根据照片上传进度自动计算状态：pending(初始) → progress(有上传) → done(全部完成)。龙华项目需要：全部整改照片+门面照+廉政卡照；文体项目需要：全部隐患照片+门面照。","1. 项目状态怎么自动更新?
2. pending/progress/done怎么切换?
3. _update_project_status
4. 照片上传进度怎么计算?"
"_resolve_street_group 街道分组映射","_resolve_street_group(street) 是街道到分组的映射函数，位于 backend/routers/projects.py:29。映射规则：观澜/观湖/福城→A组，民治/龙华/大浪→B组。支持模糊匹配（如""观澜街道""→""A""）。用于自动分配核销人员和筛选人员列表。","1. 街道怎么分组?
2. A组B组怎么分的?
3. _resolve_street_group
4. 核销人员怎么按街道分配?"
"re_extract_photos 重新提取照片","re_extract_photos(project_id, db) 是单个项目照片重新提取的API端点，位于 backend/routers/projects.py:611，路由 POST /api/projects/{project_id}/re-extract-photos。从原始Excel重新提取缺失的隐患照片。调用链：re_extract_photos → _extract_images_from_xlsx → _build_hazard_row_map → _find_photo_for_row → 更新Hazard.hazard_photo_path。","1. 怎么重新提取隐患照片?
2. 照片丢失了怎么恢复?
3. re_extract_photos
4. POST /api/projects/{id}/re-extract-photos"
"re_extract_all_photos 批量重新提取照片","re_extract_all_photos(db) 是批量照片重新提取的API端点，位于 backend/routers/projects.py:653，路由 POST /api/re-extract-all-photos。遍历所有项目，为缺失照片的隐患重新从Excel提取。使用缓存避免重复解析同一Excel文件。","1. 怎么批量重新提取所有照片?
2. 全部项目照片恢复
3. re_extract_all_photos
4. POST /api/re-extract-all-photos"
"_build_hazard_row_map 构建隐患行映射","_build_hazard_row_map(ws, project_name) 是Excel工作表隐患行定位函数，位于 backend/routers/projects.py:708。扫描工作表找到指定项目名称对应的隐患数据行，返回 {seq: 0-based-row} 映射，用于照片重新提取时定位图片锚点位置。","1. Excel中隐患行怎么定位?
2. 序号和行号怎么对应?
3. _build_hazard_row_map"
"add_hazard 添加隐患","add_hazard(project_id, body, db) 是隐患添加的API端点，位于 backend/routers/projects.py:872，路由 POST /api/projects/{project_id}/hazards。支持从模板或手动录入创建隐患条目，自动分配序号。body字段：hazard_type, description, suggestion, risk, category, reference, remark。","1. 怎么添加隐患?
2. 新增隐患条目
3. POST /api/projects/{id}/hazards
4. 从模板添加隐患"
"update_hazard 编辑隐患","update_hazard(hazard_id, body, db) 是隐患编辑的API端点，位于 backend/routers/projects.py:901，路由 PATCH /api/hazards/{hazard_id}。可更新字段：hazard_type, description, suggestion, risk, category, reference, remark, seq。","1. 怎么编辑隐患?
2. 修改隐患信息
3. PATCH /api/hazards/{id}
4. 更新隐患描述"
"delete_hazard 删除隐患","delete_hazard(hazard_id, db) 是隐患删除的API端点，位于 backend/routers/projects.py:916，路由 DELETE /api/hazards/{hazard_id}。","1. 怎么删除隐患?
2. DELETE /api/hazards/{id}"
"update_hazard_remark 更新隐患备注","update_hazard_remark(hazard_id, body, db) 是隐患备注更新的API端点，位于 backend/routers/projects.py:316，路由 PATCH /api/hazards/{hazard_id}/remark。接收 {remark: ""文本""} 更新备注字段。","1. 怎么修改隐患备注?
2. 更新备注接口
3. PATCH /api/hazards/{id}/remark"
"update_rectify_status 更新整改状态","update_rectify_status(hazard_id, body, db) 是整改状态更新的API端点，位于 backend/routers/projects.py:326，路由 PATCH /api/hazards/{hazard_id}/rectify-status。状态值：done(已整改)或pending(待整改)。更新后自动调用 _update_project_status 刷新项目整体状态。","1. 怎么标记已整改?
2. 整改状态怎么切换?
3. PATCH /api/hazards/{id}/rectify-status"
"list_hazard_templates 查询隐患模板","list_hazard_templates(category, db) 是隐患模板查询的API端点，位于 backend/routers/projects.py:787，路由 GET /api/hazard-templates。支持按分类筛选，返回模板列表（id, category, sub_category, seq, description, suggestion, reference_standard, standard_clause）。","1. 怎么查询隐患模板?
2. 模板列表接口
3. GET /api/hazard-templates
4. 按分类筛选模板"
"load_hazard_templates 上传导入隐患模板","load_hazard_templates(file, db) 是隐患模板Excel上传导入的API端点，位于 backend/routers/projects.py:806，路由 POST /api/hazard-templates/load。上传xlsx文件后调用 load_templates_to_db 清空并重新导入所有模板。","1. 怎么导入隐患模板?
2. 模板Excel上传接口
3. POST /api/hazard-templates/load"
"list_detections 查询检测记录","list_detections(project_id, detection_type, db) 是检测记录查询的API端点，位于 backend/routers/projects.py:951，路由 GET /api/projects/{project_id}/detections。支持按检测类型筛选：infrared(红外), ground_resistance(接地电阻), residual_current(剩余电流), insulation(绝缘), terminal(端子), indoor_wiring(室内布线), distribution_box(配电箱), ceiling_wiring(吊顶内走线), grounding(接地)。","1. 怎么查询检测记录?
2. 检测记录列表接口
3. GET /api/projects/{id}/detections
4. 检测类型有哪些?"
"add_detection 添加检测记录","add_detection(project_id, body, db) 是检测记录添加的API端点，位于 backend/routers/projects.py:969，路由 POST /api/projects/{project_id}/detections。自动分配序号，红外和接地电阻类型自动根据数值生成""符合规范要求""结论。body字段：detection_type, location, code, temperature, resistance_value, result, remark。","1. 怎么添加检测记录?
2. 新增检测数据
3. POST /api/projects/{id}/detections
4. 检测结论怎么自动生成?"
"update_detection 更新检测记录","update_detection(record_id, body, db) 是检测记录更新的API端点，位于 backend/routers/projects.py:1016，路由 PATCH /api/detections/{record_id}。红外/接地电阻类型修改温度/电阻值时自动更新结论。","1. 怎么修改检测记录?
2. PATCH /api/detections/{id}
3. 更新检测数据"
"upload_detection_photo 上传检测照片","upload_detection_photo(record_id, file, db) 是检测照片上传的API端点，位于 backend/routers/projects.py:1054，路由 POST /api/detections/{record_id}/photo。上传后调用 compress_uploaded_image 压缩。","1. 怎么上传检测照片?
2. 检测照片上传接口
3. POST /api/detections/{id}/photo"
"list_checklist 查询附表检测结果","list_checklist(project_id, table_index, db) 是附表检测结果查询的API端点，位于 backend/routers/projects.py:1083，路由 GET /api/projects/{project_id}/checklist。支持按 table_index 筛选，返回结果包含 CHECKLIST_ITEM_TEXTS 中的检测项文本描述。","1. 怎么查询附表检测结果?
2. 附表数据接口
3. GET /api/projects/{id}/checklist"
"update_checklist 更新附表检测结果","update_checklist(project_id, body, db) 是附表检测结果更新的API端点，位于 backend/routers/projects.py:1097，路由 PATCH /api/projects/{project_id}/checklist。接收 {items: [{table_index, item_seq, result}]} 批量更新检测结果。","1. 怎么更新附表检测结果?
2. 批量保存附表数据
3. PATCH /api/projects/{id}/checklist"
"init_checklist 初始化附表","init_checklist(project_id, db) 是附表检测结果初始化的API端点，位于 backend/routers/projects.py:1129，路由 POST /api/projects/{project_id}/init-checklist。从 CHECKLIST_DEFAULTS 模板初始化Tables 17-24的默认值，如果已存在则跳过。","1. 怎么初始化附表?
2. 附表默认值从哪来?
3. POST /api/projects/{id}/init-checklist
4. Tables 17-24初始化"
"list_inspectors 查询核销人员","list_inspectors(street, db) 是核销人员查询的API端点，位于 backend/routers/projects.py:1153，路由 GET /api/inspectors。按街道筛选（通过_resolve_street_group转换为A/B分组），不传street返回全部。","1. 怎么查询核销人员?
2. 核销人员列表接口
3. GET /api/inspectors
4. 按街道筛选人员"
"add_inspector 添加核销人员","add_inspector(body, db) 是核销人员添加的API端点，位于 backend/routers/projects.py:1165，路由 POST /api/inspectors。接收 {name, street} 或 {name, street_group}，自动去重。","1. 怎么添加核销人员?
2. 新增人员接口
3. POST /api/inspectors"
"download_doc 下载文档","download_doc(project_id, db) 是文档下载的API端点，位于 backend/routers/projects.py:531，路由 GET /api/projects/{project_id}/download。返回 FileResponse，Content-Type 为 Word 文档格式，设置无缓存头。","1. 怎么下载生成的文档?
2. 文档下载接口
3. GET /api/projects/{id}/download"
"get_hazard_photo 获取隐患照片","get_hazard_photo(project_id, hazard_id, db) 是隐患照片获取的API端点，位于 backend/routers/projects.py:551，路由 GET /api/projects/{project_id}/hazard-photo/{hazard_id}。返回文件流。","1. 怎么获取隐患照片?
2. 隐患照片下载
3. GET /api/projects/{id}/hazard-photo/{hid}"
"get_rectify_photo 获取整改照片","get_rectify_photo(project_id, hazard_id, db) 是整改照片获取的API端点，位于 backend/routers/projects.py:562，路由 GET /api/projects/{project_id}/rectify-photo/{hazard_id}。","1. 怎么获取整改照片?
2. 整改照片下载
3. GET /api/projects/{id}/rectify-photo/{hid}"
"get_scene_photo 获取现场照片","get_scene_photo(project_id, photo_type, db) 是现场照片获取的API端点，位于 backend/routers/projects.py:394，路由 GET /api/projects/{project_id}/scene-photo。按photo_type返回对应照片文件。","1. 怎么获取现场照片?
2. 门面照片怎么查看?
3. GET /api/projects/{id}/scene-photo"
"get_detection_photo 获取检测照片","get_detection_photo(record_id, db) 是检测照片获取的API端点，位于 backend/routers/projects.py:1072，路由 GET /api/detections/{record_id}/photo。","1. 怎么获取检测照片?
2. GET /api/detections/{id}/photo"
"list_generated_docs 查询已生成文档","list_generated_docs(db) 是已生成文档列表查询的API端点，位于 backend/routers/projects.py:573，路由 GET /api/generated-docs。返回所有生成过的文档记录，包含项目名称、文件名、大小、生成时间和下载链接。","1. 怎么查询已生成的文档?
2. 文档列表接口
3. GET /api/generated-docs"
"list_streets 查询街道列表","list_streets(db) 是街道去重列表查询的API端点，位于 backend/routers/projects.py:589，路由 GET /api/streets。返回数据库中所有不同的街道名称。","1. 怎么获取街道列表?
2. GET /api/streets"
"list_categories 查询分类列表","list_categories(db) 是项目分类去重列表查询的API端点，位于 backend/routers/projects.py:595，路由 GET /api/categories。返回数据库中所有不同的项目分类。","1. 怎么获取分类列表?
2. GET /api/categories"
"get_db 获取数据库会话","get_db() 是FastAPI数据库依赖注入函数，位于 backend/database.py:10。使用SQLAlchemy SessionLocal创建会话，通过yield提供给路由函数，请求结束后自动关闭。所有API端点通过 Depends(get_db) 注入。","1. 数据库会话怎么获取?
2. get_db依赖注入
3. FastAPI数据库连接"
"init_db 初始化数据库","init_db() 是数据库初始化函数，位于 backend/database.py:18。调用 Base.metadata.create_all 根据ORM模型自动创建所有表。在FastAPI startup事件中调用。","1. 数据库怎么初始化?
2. 表怎么自动创建?
3. init_db"
"Project 项目模型","Project 是SQLAlchemy ORM模型类，位于 backend/models.py:7，对应 projects 表。字段：id, name, street, address, contact, phone, category, build_unit, construct_unit, supervise_unit, check_date, status(pending/progress/done), excel_file, project_type(longhua/wenti), report_code, area, floor_info, inspectors。关联：hazards, scene_photos, detection_records, checklist_results（级联删除）。","1. Project模型有哪些字段?
2. 项目表结构
3. projects表定义
4. 项目和隐患什么关系?"
"Hazard 隐患模型","Hazard 是SQLAlchemy ORM模型类，位于 backend/models.py:37，对应 hazards 表。字段：id, project_id(FK), seq, hazard_type, description, risk, category, reference, remark, suggestion, hazard_photo_path, rectify_status(pending/done), rectify_photo_path。通过 project_id 外键关联 Project。","1. Hazard模型有哪些字段?
2. 隐患表结构
3. hazards表定义
4. 隐患和项目的关系"
"DetectionRecord 检测记录模型","DetectionRecord 是SQLAlchemy ORM模型类，位于 backend/models.py:82，对应 detection_records 表。字段：id, project_id(FK), detection_type, seq, location, photo_path, code, temperature, resistance_value, result, remark。检测类型包括红外、接地电阻、剩余电流等9种。","1. DetectionRecord模型有哪些字段?
2. 检测记录表结构
3. detection_records表定义"
"ChecklistResult 附表检测结果模型","ChecklistResult 是SQLAlchemy ORM模型类，位于 backend/models.py:100，对应 checklist_results 表。字段：id, project_id(FK), table_index, item_seq, result。用于存储Tables 17-24的电气防火检测附表结果。","1. ChecklistResult模型有哪些字段?
2. 附表结果表结构
3. checklist_results表定义"
"HazardTemplate 隐患模板模型","HazardTemplate 是SQLAlchemy ORM模型类，位于 backend/models.py:69，对应 hazard_templates 表。字段：id, category, sub_category, seq, description, suggestion, reference_standard, standard_clause。存储隐患依据模板库数据。","1. HazardTemplate模型有哪些字段?
2. 隐患模板表结构
3. hazard_templates表定义"
"ScenePhoto 现场照片模型","ScenePhoto 是SQLAlchemy ORM模型类，位于 backend/models.py:57，对应 scene_photos 表。字段：id, project_id(FK), photo_type(facade/card/license/permit/record_sheet), photo_path。存储项目的门面照、廉政卡、营业执照等现场照片。","1. ScenePhoto模型有哪些字段?
2. 现场照片表结构
3. scene_photos表定义"
"Inspector 核销人员模型","Inspector 是SQLAlchemy ORM模型类，位于 backend/models.py:112，对应 inspectors 表。字段：id, name, street_group(A=观澜/观湖/福城, B=民治/龙华/大浪)。","1. Inspector模型有哪些字段?
2. 核销人员表结构
3. inspectors表定义"
"GeneratedDoc 生成文档模型","GeneratedDoc 是SQLAlchemy ORM模型类，位于 backend/models.py:120，对应 generated_docs 表。字段：id, project_id(FK), file_path, file_name, file_size, created_at。记录每次文档生成的文件路径和元信息。","1. GeneratedDoc模型有哪些字段?
2. 生成文档记录表
3. generated_docs表定义"
"config.py 配置文件","config.py 是后端配置模块，位于 backend/config.py。定义了：BASE_DIR(项目根目录)、UPLOAD_DIR(uploads/)、TEMPLATE_DIR(templates/)、DATABASE_URL(SQLite)、以及各类文件存储目录(EXCEL_DIR, HAZARD_PHOTO_DIR, RECTIFY_PHOTO_DIR, SCENE_PHOTO_DIR, GENERATED_DIR, DETECTION_PHOTO_DIR)。启动时自动创建所有目录。","1. 配置文件在哪?
2. 文件存储路径
3. 数据库地址是什么?
4. 上传目录结构"
"main.py FastAPI入口","main.py 是FastAPI后端服务入口，位于 backend/main.py。应用名称""安全隐患检查自动化系统""，配置CORS全放通、静态文件挂载(/uploads, /static, /mockup)、路由注册(projects_router)。startup事件调用init_db。根路由 / 重定向到 /static/admin.html。","1. 后端入口在哪?
2. FastAPI应用怎么启动?
3. main.py做了什么?
4. CORS怎么配置的?"
